Year,Player,TotApps,TotAssists,TotGoals,ClubApps,ClubAssists,ClubGoals,CoApps,CoAssists,CoGoals
2020,Messi,12,7,8,12,7,8,0,0,0
2019,Messi,59,18,50,49,16,45,10,2,5
2018,Messi,54,26,51,49,23,47,5,3,4
2017,Messi,64,16,54,57,16,50,7,0,4
2016,Messi,62,31,59,51,25,51,11,6,8
2015,Messi,61,26,52,53,23,48,8,3,4
2014,Messi,66,22,58,52,19,50,14,3,8
2013,Messi,46,16,45,39,12,39,7,4,6
2012,Messi,69,22,91,60,21,79,9,1,12
2011,Messi,70,36,59,57,27,55,13,9,4
2010,Messi,64,17,60,54,16,58,10,1,2
2009,Messi,64,15,41,54,14,38,10,1,3
2008,Messi,48,18,22,40,16,20,8,2,2
2007,Messi,55,12,31,41,8,25,14,4,6
2006,Messi,33,3,12,26,1,10,7,2,2
2005,Messi,21,NA,3,16,NA,3,5,NA,0
2004,Messi,7,NA,0,7,NA,0,0,NA,0
2003,Messi,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Messi,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Ronaldo,10,1,13,10,1,13,0,0,0
2019,Ronaldo,50,4,39,40,4,25,10,0,14
2018,Ronaldo,53,13,49,46,12,43,7,1,6
2017,Ronaldo,60,13,53,49,9,42,11,4,11
2016,Ronaldo,57,17,55,44,14,42,13,3,13
2015,Ronaldo,57,17,57,52,17,54,5,0,3
2014,Ronaldo,60,20,61,51,19,56,9,1,5
2013,Ronaldo,59,17,69,50,16,59,9,1,10
2012,Ronaldo,71,14,63,58,12,58,13,2,5
2011,Ronaldo,60,16,60,52,14,53,8,2,7
2010,Ronaldo,59,17,48,48,13,45,11,4,3
2009,Ronaldo,49,4,30,42,4,29,7,0,1
2008,Ronaldo,58,10,35,50,9,34,8,1,1
2007,Ronaldo,60,12,34,50,11,29,10,1,5
2006,Ronaldo,60,8,25,46,8,19,14,0,6
2005,Ronaldo,64,NA,15,53,NA,13,11,NA,2
2004,Ronaldo,60,NA,13,44,NA,6,16,NA,7
2003,Ronaldo,36,NA,1,34,NA,1,2,NA,0
2002,Ronaldo,16,NA,5,16,NA,5,0,NA,0
